(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Legacy Shaders/Bumped Diffuse (384 verts): 
		container_2 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_2 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_3 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_1 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_3 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_1 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_4 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_4 (1) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_4 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_1 (1) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_2 (1) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_3_open (48 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_3 (1) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_1 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		container_2 (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
	Legacy Shaders/Bumped Diffuse,Standard (23628 verts): 
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
